| id                                   | file_path                                                   | file_name                                          | file_size | partita_iva         | invoice_number | datev_buchung_id | status   | project_id | uploaded_by | uploaded_at                   | kontrolled_by | kontrolled_at | paid_by | paid_at | created_at                    | notes | kostentyp | funding_source_id | linked_datev_id | archived | archived_at | linked_booking_id | fornitore_name | workflow_status | created_by | updated_by | deleted_at | deleted_by | updated_at |
| d648958b-a88c-4414-8ea8-d8f3c0e1dfca | invoices/2026_IT02680230212_456_1787120589141.pdf           | 2026_IT02680230212_456_1787120589141.pdf           | null      | IT02680230212       | 456            | null             | uploaded | null       | null        | 2026-08-19 06:23:09.416534+00 | null          | null          | null    | null    | 2026-08-19 06:23:09.416534+00 | null  | null      | null              | null            | false    | null        | 207011            | null           | neu             | null       | null       | null       | null       | null       |
| 45272c6c-4663-4ab3-9492-78a029211b71 | invoices/2026_CF:LLNKRT63R11F132I_459_1787120702587.pdf     | 2026_CF:LLNKRT63R11F132I_459_1787120702587.pdf     | null      | CF:LLNKRT63R11F132I | 459            | null             | uploaded | null       | null        | 2026-08-19 06:25:02.756927+00 | null          | null          | null    | null    | 2026-08-19 06:25:02.756927+00 | null  | null      | null              | null            | false    | null        | 207010            | null           | neu             | null       | null       | null       | null       | null       |
| da1466bb-fac2-46b7-a252-ca50077f8892 | invoices/2026_CF:MYRFRN71S16A022A_6/001_1787120685566.pdf   | 2026_CF:MYRFRN71S16A022A_6/001_1787120685566.pdf   | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:24:45.80396+00  | null          | null          | null    | null    | 2026-08-19 06:24:45.80396+00  | null  | null      | null              | null            | false    | null        | null              | null           | neu             | null       | null       | null       | null       | null       |
| c8bcec2a-1730-43f4-96c2-b5c685c5baf7 | invoices/2026_IT03214260212_6969 EA_1787120600550.pdf       | 2026_IT03214260212_6969 EA_1787120600550.pdf       | null      | IT03214260212       | 6969 EA        | null             | uploaded | null       | null        | 2026-08-19 06:23:20.763457+00 | null          | null          | null    | null    | 2026-08-19 06:23:20.763457+00 | null  | null      | null              | null            | false    | null        | 207007            | null           | neu             | null       | null       | null       | null       | null       |
| 239d51f3-251c-4bc9-8161-bf1682a7af4f | invoices/2026_CF:MYRFRN71S16A022A_6/001_1787120617307.pdf   | 2026_CF:MYRFRN71S16A022A_6/001_1787120617307.pdf   | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:23:37.715185+00 | null          | null          | null    | null    | 2026-08-19 06:23:37.715185+00 | null  | null      | null              | null            | false    | null        | null              | null           | neu             | null       | null       | null       | null       | null       |
| e456ec28-5171-41b6-9414-8b4fb3a702a1 | invoices/2026_IT02751960218_313_1787120744675.pdf           | 2026_IT02751960218_313_1787120744675.pdf           | null      | IT02751960218       | 313            | null             | uploaded | null       | null        | 2026-08-19 06:25:45.087281+00 | null          | null          | null    | null    | 2026-08-19 06:25:45.087281+00 | null  | null      | null              | null            | false    | null        | 207005            | null           | neu             | null       | null       | null       | null       | null       |
| 329be4a6-ab20-4a87-b96a-d67a94a94696 | invoices/2026_NODOC_E080102AHO_1787120896425.pdf            | 2026_NODOC_E080102AHO_1787120896425.pdf            | null      | null                | E080102AHO     | null             | uploaded | null       | null        | 2026-08-19 06:28:17.050221+00 | null          | null          | null    | null    | 2026-08-19 06:28:17.050221+00 | null  | null      | null              | null            | false    | null        | 207006            | null           | neu             | null       | null       | null       | null       | null       |
| 4b891b89-a71d-463a-b163-6765ebbee609 | invoices/2026_NODOC_id-206969_1787121575157.pdf             | 2026_NODOC_id-206969_1787121575157.pdf             | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:39:35.875497+00 | null          | null          | null    | null    | 2026-08-19 06:39:35.875497+00 | null  | null      | null              | null            | false    | null        | 206969            | null           | neu             | null       | null       | null       | null       | null       |
| e99d17d2-8c3c-4061-bf71-6a46c2dbc565 | invoices/2026_NODOC_S56RTT5N72_1787121613890.pdf            | 2026_NODOC_S56RTT5N72_1787121613890.pdf            | null      | null                | S56RTT5N72     | null             | uploaded | null       | null        | 2026-08-19 06:40:14.502294+00 | null          | null          | null    | null    | 2026-08-19 06:40:14.502294+00 | null  | null      | null              | null            | false    | null        | 206941            | null           | neu             | null       | null       | null       | null       | null       |
| a1f937ac-5b48-42e7-af56-1d6fd78bc39b | invoices/2026_IT07158220967_001092_1787121740340.pdf        | 2026_IT07158220967_001092_1787121740340.pdf        | null      | IT07158220967       | 001092         | null             | uploaded | null       | null        | 2026-08-19 06:42:20.606898+00 | null          | null          | null    | null    | 2026-08-19 06:42:20.606898+00 | null  | null      | null              | null            | false    | null        | 206924            | null           | neu             | null       | null       | null       | null       | null       |
| c6f74659-efe7-4806-a98d-bd317fcc4023 | invoices/2026_NODOC_id-206963_1787121765951.pdf             | 2026_NODOC_id-206963_1787121765951.pdf             | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:42:46.139786+00 | null          | null          | null    | null    | 2026-08-19 06:42:46.139786+00 | null  | null      | null              | null            | false    | null        | 206963            | null           | neu             | null       | null       | null       | null       | null       |
| 0d0fb416-3d1c-4abb-8386-ce7f9a13c588 | invoices/2026_NODOC_SYVC-0009_1787121816212.pdf             | 2026_NODOC_SYVC-0009_1787121816212.pdf             | null      | null                | SYVC-0009      | null             | uploaded | null       | null        | 2026-08-19 06:43:36.394718+00 | null          | null          | null    | null    | 2026-08-19 06:43:36.394718+00 | null  | null      | null              | null            | false    | null        | 206965            | null           | neu             | null       | null       | null       | null       | null       |
| a503f2c8-aadb-435a-be71-b7c0a5bc2847 | invoices/2026_NODOC_id-206962_1787121845929.pdf             | 2026_NODOC_id-206962_1787121845929.pdf             | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:44:06.253614+00 | null          | null          | null    | null    | 2026-08-19 06:44:06.253614+00 | null  | null      | null              | null            | false    | null        | 206962            | null           | neu             | null       | null       | null       | null       | null       |
| 41103c3f-776f-43d8-b67a-27ebf551eaee | invoices/2026_NODOC_id-206958_1787121933186.pdf             | 2026_NODOC_id-206958_1787121933186.pdf             | null      | null                | null           | null             | uploaded | null       | null        | 2026-08-19 06:45:33.326086+00 | null          | null          | null    | null    | 2026-08-19 06:45:33.326086+00 | null  | null      | null              | null            | false    | null        | 206958            | null           | neu             | null       | null       | null       | null       | null       |
| 9a49d28c-6707-48f5-ad2b-c42d838ae41e | invoices/2026_NODOC_70951_1787122137330.pdf                 | 2026_NODOC_70951_1787122137330.pdf                 | null      | null                | 70951          | null             | uploaded | null       | null        | 2026-08-19 06:48:57.612493+00 | null          | null          | null    | null    | 2026-08-19 06:48:57.612493+00 | null  | null      | null              | null            | false    | null        | 206952            | null           | neu             | null       | null       | null       | null       | null       |
| f4c0e40e-6cf6-4254-b82d-49f23ce9435e | invoices/2026_NODOC_SYVC-0008_1787122173876.pdf             | 2026_NODOC_SYVC-0008_1787122173876.pdf             | null      | null                | SYVC-0008      | null             | uploaded | null       | null        | 2026-08-19 06:49:34.048584+00 | null          | null          | null    | null    | 2026-08-19 06:49:34.048584+00 | null  | null      | null              | null            | false    | null        | 206949            | null           | neu             | null       | null       | null       | null       | null       |
| e9364a8e-df5c-4430-a356-d918ce514d52 | invoices/2026_IT12878470157_AS02020055_1787122223797.pdf    | 2026_IT12878470157_AS02020055_1787122223797.pdf    | null      | IT12878470157       | AS02020055     | null             | uploaded | null       | null        | 2026-08-19 06:50:24.003204+00 | null          | null          | null    | null    | 2026-08-19 06:50:24.003204+00 | null  | null      | null              | null            | false    | null        | 206905            | null           | neu             | null       | null       | null       | null       | null       |
| 559bc035-3a0e-4ce9-870f-63676a8e6460 | invoices/2026_IT01745520211_AEL2601501918_1787156593016.pdf | 2026_IT01745520211_AEL2601501918_1787156593016.pdf | null      | IT01745520211       | AEL2601501918  | null             | uploaded | null       | null        | 2026-08-19 16:23:14.179002+00 | null          | null          | null    | null    | 2026-08-19 16:23:14.179002+00 | null  | null      | null              | null            | false    | null        | 206923            | null           | neu             | null       | null       | null       | null       | null       |
